id,nombre,dni,telefono,email,direccion,puesto,nss,turno,salario
1,Marta Ruiz,18295657S,676361212,marta.ruiz@hotmail.com,Paseo del Prado Nº 43,Auxiliar,710773945649,Mañana,1431
2,Pedro Martínez,35215174D,637159742,pedro.martínez@hotmail.com,Paseo del Prado Nº 135,Farmacéutico,885217052584,Mañana,2399
3,Laura Martínez,95313662M,685601106,laura.martínez@hotmail.com,Paseo del Prado Nº 30,Auxiliar,703135075834,Tarde,1434
4,Elena Díaz,82662194Y,691030099,elena.díaz@gmail.com,Ronda Norte Nº 161,Técnico de Farmacia,817642755102,Tarde,1665
5,Sofía Torres,55434131J,628260952,sofía.torres@hotmail.com,Ronda Norte Nº 200,Farmacéutico,867576389527,Noche,2042
6,Sofía García,15372263R,685629904,sofía.garcía@farmacia.es,Ronda Norte Nº 152,Auxiliar,068776794040,Noche,1242
7,Carlos Ruiz,91056279U,688102168,carlos.ruiz@hotmail.com,Paseo del Prado Nº 135,Auxiliar,031014982904,Tarde,1470
8,María Martínez,26498969U,670300000,maría.martínez@farmacia.es,Ronda Norte Nº 119,Técnico de Farmacia,655736578835,Tarde,1932
9,Luis Morales,64400335S,682182580,luis.morales@farmacia.es,Calle Mayor Nº 190,Encargado,799398264533,Mañana,2244
10,Elena Santos,52812406M,622794702,elena.santos@farmacia.es,Calle Real Nº 140,Encargado,177482361384,Mañana,2208
11,Manuel García,54305744J,631713232,manuel.garcía@farmacia.es,Calle Mayor Nº 196,Reponedor,350867291578,Tarde,1202
12,Javier Díaz,24785593L,690198029,javier.díaz@gmail.com,Avenida del Sol Nº 101,Encargado,406961904923,Mañana,1921
13,Carmen Martínez,30605055R,682632994,carmen.martínez@gmail.com,Calle Real Nº 96,Encargado,545478188490,Noche,2149
14,Javier Díaz,72872367L,659807154,javier.díaz@farmacia.es,Ronda Norte Nº 144,Técnico de Farmacia,685107994795,Tarde,1588
